filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
/home/diyuan/pythonRepo/pythondotorg/cms/management/commands/create_initial_data.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",72,[72],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
/home/diyuan/pythonRepo/pythondotorg/downloads/tests/test_views.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'passworduser',99,"[99, 100, 101, 102]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
/home/diyuan/pythonRepo/pythondotorg/downloads/tests/test_views.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'password',451,"[451, 452, 453]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
/home/diyuan/pythonRepo/pythondotorg/events/tests/test_models.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'password',15,[15],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
/home/diyuan/pythonRepo/pythondotorg/events/tests/test_views.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'password',17,[17],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
/home/diyuan/pythonRepo/pythondotorg/events/tests/test_views.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'password',166,[166],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
/home/diyuan/pythonRepo/pythondotorg/events/tests/test_views.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'password',181,[181],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
/home/diyuan/pythonRepo/pythondotorg/jobs/tests/test_views.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'password',16,[16],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
/home/diyuan/pythonRepo/pythondotorg/jobs/tests/test_views.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'password',18,[18],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
/home/diyuan/pythonRepo/pythondotorg/jobs/tests/test_views.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'password',20,"[20, 21, 22, 23]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
